"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographic_information,,text,"Identification number",,,,,,,,,,,,,
gender,demographic_information,"<div class=""rich-text-field-label""><h3 style=""text-align: center;"">General</h3></div>",radio,Gender,"0, Male | 1, Female",,,,,,,,,,,,
dob,demographic_information,,text,"Date of birth",,DD-MM-YYYY,date_dmy,,,,,,,,,," @HIDEBUTTON"
upload,demographic_information,,file,,,,,,,,,,,,,,
tabla,demographic_information,anv,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9717%;"" border=""1""> <tbody> <tr> <td style=""width: 98.331%;"">{shazam}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
shazam,demographic_information,,descriptive,,,,,,,,,,,,,,
tabla1,demographic_information,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 99.9717%;"" border=""1""> <tbody> <tr> <td style=""width: 48.3876%;"">{tabla3}</td> <td style=""width: 48.3876%;""> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
tabla3,demographic_information,,text,"<div class=""rich-text-field-label""><p>abcv</p></div>",,,number,,,,,,,,,,
weight,demographic_information,abc,text,Weight,,kg,,,,,"[gender] = 0",,,,,,
height,demographic_information,,text,Height,,m,,,,,,,,,,,
bmi,demographic_information,,text,"Body mass index",,,number,,,,,,,,,,
ethnicity,demographic_information,,dropdown,Ethnicity,"1, Ethnicity | 2, Ethnicity",,,,,,"[height] > 170 or [weight] < 65 and [gender] = 1",,,,,,
ethnicity_2,demographic_information,"<div class=""rich-text-field-label""><h3 style=""text-align: center;"">Comorbidities</h3></div>",dropdown,Ethnicity,"1, Ethnicity | 2, Ethnicity",,,,,,,,,,,,
d_naixement,demographic_information,,text,"Data de naixement",,,date_dmy,,,,,,,,,,
borrar,demographic_information,,descriptive,"<table style=""border-collapse: collapse; width: 12.447%; border-style: none; height: 51px;""> <tbody> <tr style=""height: 17px;""> <td style=""width: 100%; height: 17px;"">Edat</td> </tr> <tr style=""height: 17px;""> <td style=""width: 50%; height: 17px;"">{edat} </td> </tr> </tbody> </table>",,,,,,,,,,,,,
edat,demographic_information,,calc,,"rounddown(datediff([d_naixement],""today"",'y','dmy','true'))",,,,,,,,,,,,
a,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_9,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_8,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_7,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_6,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_5,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_4,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_3,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
a_2,inclusion_criteria,,dropdown,,,,,,,,,,,,,,
aa,background_information,,text,,,,,,,,,,,,,,
aa_2,background_information,,text,,,,,,,,,,,,,,
aa_3,background_information,,text,,,,,,,,,,,,,,
aa_4,background_information,,text,,,,,,,,,,,,,,
aa_5,background_information,"<center> <div class=""yellow""> <h4>Test 15D©</h4> </div> </center>",text,,,,,,,,,,,,,,
erythrocytes,analytical_data,"<div class=""rich-text-field-label""><h3 style=""text-align: center;"">Analytical data</h3></div>",text,Erythrocytes,,,number_2dp,4.30,5.60,,,,,,,,
haemoglobin,analytical_data,,text,Haemoglobin,,,number_2dp,,,,,,,,,,
hematocrit,analytical_data,,text,Hematocrit,,%,number_2dp,,,,,,,,,,
continua_tratamiento,analytical_data,,radio,"Plan del tratamiento","0, No inicio | 1, Inicio | 2, Mantiene | 3, Reinicio | 4, Switch | 5, Suspensión | 6, Sigue sin tratamiento",,,,,,,,,,,," @IF(([current-instance]>1 and [borrar_suma][previous-instance]=0)   or  
	[event-name]= ""primera_visita_arm_1"" or 
	([current-instance]=1 and  [primera_visita_arm_1][borrar_suma]=0), 
	@HIDECHOICE='2,3,4,5,6', 
	@IF([current-instance]>1 and [continua_tratamiento][previous-instance]='5', @HIDECHOICE='0,1,2,4,5',
	        @HIDECHOICE='0,1,6'))"
aaa_9,analytical_data,,notes,,,,,,,,,,,,,,
aaa_8,analytical_data,,notes,,,,,,,,,,,,,,
aaa_7,analytical_data,,notes,,,,,,,,,,,,,,
aaa_6,analytical_data,,notes,,,,,,,,,,,,,,
aaa_5,analytical_data,,notes,,,,,,,,,,,,,,
aaa_4,analytical_data,,notes,,,,,,,,,,,,,,
aaa_3,analytical_data,,notes,,,,,,,,,,,,,,
b,followup_assessment,,text,,,,,,,,,,,,,,
b_5,followup_assessment,,text,,,,,,,,,,,,,,
b_4,followup_assessment,,text,,,,,,,,,,,,,,
b_3,followup_assessment,,text,,,,,,,,,,,,,,
b_2,followup_assessment,,text,,,,,,,,,,,,,,
borrar_suma,anticgrp,"<div class=""darkgreen""> <h4 style=""text-align: center;""><strong><u>antiCGRP</u></strong></h4> </div>",calc,,"if([event-name] = ""primera_visita_arm_1"",if([continua_tratamiento]='1',1,0), 
if([current-instance]=1,if([continua_tratamiento]='1',1,0)+[primera_visita_arm_1][borrar_suma],  [borrar_suma][previous-instance]+if([continua_tratamiento]='1',1,0)))",,,,,,,,,,,," @HIDDEN"
reinicio_motivo,anticgrp,,radio,"Motivo de reinicio","0, Empeoramiento clínico | 1, Finalización embarazo | 2, Resolución de contraindicación | 3, Otro {reinicio_motivo_otro}",,,,,,"[continua_tratamiento] = ""3""",,,,,,
reinicio_motivo_otro,anticgrp,,text,"Especifique motivo de reinicio",,,,,,,"[reinicio_motivo] = ""3""",,,,,,
switch_motivo,anticgrp,,radio,"Motivo de switch","0, Ineficacia | 1, Mala tolerancia | 2, Otro {switch_motivo_otro}",,,,,,"[continua_tratamiento] = ""4""",,,,,,
switch_motivo_otro,anticgrp,,text,"Especifique motivo de switch",,,,,,,"[switch_motivo] = ""2""",,,,,,
fecha_suspension,anticgrp,,text,"Fecha de suspensión",,,date_dmy,,,,"[continua_tratamiento] = ""5""",,,,,,
suspension_motivo,anticgrp,,radio,"Motivo de suspensión","0, Ineficacia | 1, Mejoría clínica | 2, Mala tolerancia | 3, Embarazo | 4, Otro {suspension_motivo_otro}",,,,,,"[continua_tratamiento] = ""5""",,,,,,
suspension_motivo_otro,anticgrp,,text,"Especifique motivo de suspensión",,,,,,,"[suspension_motivo] = ""4""",,,,,,
fecha_administracion,anticgrp,,text,"Fecha de administración ",,,date_dmy,[fecha_administracion][previous-instance],2050-01-01,,"[continua_tratamiento] = ""1"" or [continua_tratamiento] = ""2"" or [continua_tratamiento] = ""3"" or [continua_tratamiento] = ""4""",,,,,," @FORCE-MINMAX"
num_administracion_anti,anticgrp,,dropdown,"Número de administración","0, V0 | 1, V3 | 2, V6 | 3, V9 | 4, V12 | 5, V15 | 6, V18 | 7, V21 | 8, V24 | 9, V27 | 10, V30 | 11, V33 | 12, V36 | 13, V39",,,,,,"[continua_tratamiento] = ""1"" or [continua_tratamiento] = ""2"" or [continua_tratamiento] = ""3"" or [continua_tratamiento] = ""4""",,,,,," @IF([basal_arm_1][continua_tratamiento]='1', @READONLY @SETVALUE='0', '')"
efectos_adversos_anti,anticgrp,,radio,"Efectos adversos","0, No | 1, Sí",,,,,,"[event-name] <> ""primera_visita_arm_1"" and ([num_administracion_anti] = ""1"" or [num_administracion_anti] = ""2"" or [num_administracion_anti] = ""3"" or [num_administracion_anti] = ""4"" or [num_administracion_anti] = ""5"" or [num_administracion_anti] = ""6"")",,,,,,
efectos_adversos_tipo_anti,anticgrp,,checkbox,"Tipo de efectos adversos","0, Estreñimiento | 1, Prurito | 2, Reacción en el lugar de inyección | 3, Cuadro catarral | 4, Dolor muscular | 5, Astenia | 6, Mareo o vértigo | 7, Cambios en la tensión arterial | 8, Dolor torácico | 9, Otro {efectos_adversos_tipo_otro_anti}",,,,,,"[event-name] <> ""primera_visita_arm_1"" and [efectos_adversos_anti] = ""1""",,,,,,
efectos_adversos_tipo_otro_anti,anticgrp,,text,"Especifique otro efecto adverso",,,,,,,"[event-name] <> ""primera_visita_arm_1"" and [efectos_adversos_tipo_anti(9)] = ""1""",,,,,,
seguimiento_trat_oral_anti,anticgrp,,radio,"Sigue con tratamiento oral asociado","0, No | 1, Sí",,,,,,"[event-name] <> ""primera_visita_arm_1"" and ([continua_tratamiento] = ""2"" or [continua_tratamiento] = ""3"" or [continua_tratamiento] = ""4"")",,,,,,
anticgrp_tipo_anti,anticgrp,,radio,"Seleccionar anti-CGRP","0, Erenumab | 1, Galcanezumab | 2, Fremanezumab | 3, Eptinezumab",,,,,,"([continua_tratamiento] = ""4"" and [num_administracion_anti] = ""0"") or [continua_tratamiento]='1'",,,,,,
anticgrp_dosis_eren,anticgrp,,radio,"Seleccionar dosis","0, 70mg | 1, 140mg",,,,,,"[anticgrp_tipo_anti] = ""0""",,,,,,
anticgrp_dosis_fremanez,anticgrp,,radio,"Seleccionar dosis","0, 225mg mensual | 1, 675mg trimestral",,,,,,"[anticgrp_tipo_anti] = ""2""",,,,,,
